url,title,date,category,tags,summary
https://prtimes.jp/main/html/rd/p/000000165.000087046.html,【次世代動画生成AIの波、農業へ】動画生成AI×農業の全国コンテスト、応募開始,2025-10-10,イベント,農業;AI;動画生成;コンテスト,次世代動画生成AIを活用した農業の全国コンテストを開催。OpenAIのSora2、Runway、Google Veoなどの最新ツールを使用し、農業の未来を表現する作品を募集。
https://prtimes.jp/main/html/rd/p/000000160.000087046.html,産直EC時代の農家が抱える「嬉しい悲鳴」問題、AI返信で解決へ,2025-09-30,サービス,農業;AI;EC;顧客対応,産直EC時代における農家の顧客対応問題をAIで解決。増加する問い合わせに対し、AI技術を活用した自動返信システムで効率化を図る。
https://prtimes.jp/main/html/rd/p/000000157.000087046.html,【3日間限定・無料】書籍『農家のための生成AI超入門』キャンペーン実施,2025-09-17,キャンペーン,農業;AI;書籍;無料,農家向けの生成AI入門書を3日間限定で無料配布するキャンペーンを実施。生成AIの基礎から実践的な活用方法まで解説。
https://prtimes.jp/main/html/rd/p/000000156.000087046.html,農家向け生成AI活用支援サービス「農業AI顧問」提供開始,2025-09-16,サービス,農業;AI;コンサルティング;サブスクリプション,月額5万円で農家向けに生成AIツールの選定、導入、効果的な活用を支援するサービス「農業AI顧問」を開始。
https://prtimes.jp/main/html/rd/p/000000155.000087046.html,【農家限定】あなたの農業の悩み、AIが無料で解決します。,2025-09-16,サービス,農業;AI;無料;問題解決,農家限定で、農業の悩みをAIが無料で解決するサービスを提供。生成AI技術を活用し、農業現場の課題に対応。
https://prtimes.jp/main/html/rd/p/000000151.000087046.html,書籍『DAOが持続可能な農業のカギ』改訂版、最新DAO事例で解き明かす農業DAOの未来,2025-08-15,出版,農業;DAO;ブロックチェーン;書籍,DAOと持続可能な農業をテーマにした書籍の改訂版を発売。最新のDAO事例を通じて、農業分野での分散型自律組織の可能性を解説。
https://prtimes.jp/main/html/rd/p/000000149.000087046.html,【業界初】動画生成AIで未来農業を表現！『AGRI VISION 2125 〜AIが描く100年後の日本農業〜』開催決定！,2025-05-20,イベント,農業;AI;動画生成;未来,業界初となる動画生成AIを活用した農業の未来像表現コンテスト「AGRI VISION 2125」を開催。100年後の日本農業をAIで描く。
https://prtimes.jp/main/html/rd/p/000000148.000087046.html,みんなでデザイン！ 「Metagriデザインチャレンジ」テーマ事業者 公募スタート！,2025-05-19,イベント,農業;デザイン;コミュニティ;公募,農業メタバースゲーム「未来の農業シミュレーター」のデザインチャレンジで、テーマとなる農業事業者を公募開始。
https://prtimes.jp/main/html/rd/p/000000138.000087046.html,未来の農業を共に創る！Metagri研究所、「サポータープラン」開始,2025-05-15,サービス,農業;Web3;コミュニティ;サポート,Metagri研究所が農業×Web3の取り組みを支援する「サポータープラン」を開始。持続可能な農業の実現を目指すコミュニティ活動。
https://prtimes.jp/main/html/rd/p/000000135.000087046.html,【審査制・限定3農家】農園の物語を、価値ある情報へ。プレスリリース無料作成キャンペーン実施,2025-05-05,キャンペーン,農業;プレスリリース;無料;ブランディング,限定3農家を対象に、農園の物語を価値ある情報に変えるプレスリリースを無料で作成するキャンペーンを実施。
https://prtimes.jp/main/html/rd/p/000000133.000087046.html,【3日間限定】農業界にAI革命を！『農家のための生成AI超入門』が無料,2025-05-03,キャンペーン,農業;AI;書籍;無料,農業界にAI革命をもたらす『農家のための生成AI超入門』を3日間限定で無料配布。
https://prtimes.jp/main/html/rd/p/000000132.000087046.html,【好評につき第2弾】農業AI活用コンサルティングを1ヶ月無料提供,2025-05-03,キャンペーン,農業;AI;コンサルティング;無料,好評につき第2弾として、農業AI活用コンサルティングを1ヶ月間無料で提供。農家のAI活用を支援。
https://prtimes.jp/main/html/rd/p/000000131.000087046.html,メタバースで「黄金の茶葉フェスティバル」を開催,2025-05-01,イベント,農業;メタバース;お茶;ゲーム,農業メタバースゲーム内で「黄金の茶葉フェスティバル」を開催。茶園とのコラボレーション企画。
https://prtimes.jp/main/html/rd/p/000000130.000087046.html,前回154作品応募の熱狂再び！ 「第2回 世界牛乳の日 NFTデザインコンテスト」を開催,2025-04-15,イベント,農業;NFT;デザイン;コンテスト,第2回となる「世界牛乳の日 NFTデザインコンテスト」を開催。前回154作品の応募があった人気企画の続編。
https://prtimes.jp/main/html/rd/p/000000129.000087046.html,【農家の未来をAIと共に描く】2030年までに全農家が生成AIを活用する「AI農業共生社会」実現へ,2025-04-03,ビジョン,農業;AI;未来;社会,2030年までに全農家が生成AIを活用する「AI農業共生社会」の実現を目指すビジョンを発表。農業とAIの共生を提唱。
https://prtimes.jp/main/html/rd/p/000000125.000087046.html,【満員御礼】NFTセミナーで示された新たな収益モデルの可能性,2025-03-25,セミナー,農業;NFT;収益モデル;満員御礼,NFTを活用した新たな収益モデルの可能性を示すセミナーを開催し、満員御礼となった。
https://prtimes.jp/main/html/rd/p/000000124.000087046.html,【農林水産省コラボ企画】日本の食をデザインの力で世界へ届ける！「農業デザインチャレンジ 2025」開催決定,2025-03-20,イベント,農業;デザイン;農林水産省;コラボ,農林水産省とのコラボ企画として「農業デザインチャレンジ 2025」を開催。デザインの力で日本の食を世界に届ける。
https://prtimes.jp/main/html/rd/p/000000123.000087046.html,期限付きトークンでweb3コミュニティを活性化,2025-03-15,サービス,農業;Web3;トークン;コミュニティ,期限付きトークンシステムを導入し、web3コミュニティの活性化を図る取り組みを開始。
https://prtimes.jp/main/html/rd/p/000000121.000087046.html,【無料セミナー】「農業スキマバイト最前線 〜タイミー事例から学ぶ〜」を4月3日（木）に開催,2025-03-10,セミナー,農業;アルバイト;タイミー;無料,農業のスキマバイト活用について、タイミーの事例から学ぶ無料セミナーを4月3日に開催。
https://prtimes.jp/main/html/rd/p/000000119.000087046.html,【3月11日公開】人口減少の切り札はNFT！ 地方自治体におけるシンweb3活用戦略を提言,2025-03-07,レポート,地方創生;NFT;Web3;自治体,人口減少対策の切り札としてNFTを活用。地方自治体における「シンweb3活用戦略」を提言するレポートを公開。
https://prtimes.jp/main/html/rd/p/000000118.000087046.html,【農業×web3】2年間で1,000件超のトークン取引を実証,2025-03-05,実績報告,農業;Web3;トークン;実証,農業×web3の取り組みで、2年間に1,000件を超えるトークン取引を実証。ブロックチェーン技術の農業応用の成果を報告。
https://prtimes.jp/main/html/rd/p/000000117.000087046.html,【3農家限定】AIを活用したスマート農業コンサルを1ヶ月無料で提供開始,2025-02-15,サービス,農業;AI;コンサルティング;無料,限定3農家を対象に、AIを活用したスマート農業コンサルティングを1ヶ月間無料で提供するサービスを開始。
https://prtimes.jp/main/html/rd/p/000000116.000087046.html,【業界初】農業メタバース×AIデザインコンテスト開催のお知らせ,2025-02-10,イベント,農業;メタバース;AI;デザイン,業界初となる農業メタバース×AIデザインコンテストを開催。AIとメタバースの融合による新しい農業表現を募集。
https://prtimes.jp/main/html/rd/p/000000113.000087046.html,【3月7日開催・沼津市】「NFTで広がる可能性と新たな収益確保」セミナー,2025-02-05,セミナー,農業;NFT;収益;沼津市,沼津市でNFTを活用した新たな収益確保の可能性について学ぶセミナーを3月7日に開催。
https://prtimes.jp/main/html/rd/p/000000111.000087046.html,「農業メタバース×ショート動画コンテスト」開催！,2025-01-20,イベント,農業;メタバース;動画;コンテスト,農業メタバースとショート動画を組み合わせたコンテストを開催。新しい農業表現の可能性を探る。
https://prtimes.jp/main/html/rd/p/000000110.000087046.html,【3日間限定】『AIと共創する新時代の農業戦略』改訂版、無料キャンペーン実施,2025-02-18,キャンペーン,農業;AI;書籍;無料,最新のAIモデル「OpenAI o1」などを網羅した『AIと共創する新時代の農業戦略』改訂版を3日間限定で無料配布。
https://prtimes.jp/main/html/rd/p/000000109.000087046.html,【業界初】NFTで「農業バイト」の経験を証明！,2024-12-15,サービス,農業;NFT;アルバイト;証明,業界初となるNFTを活用した農業アルバイト経験の証明システムを導入。川上農園とのコラボレーション。
